sentence,subject,predicate,object
शाहजहाँ का मकबरा भोपाल में संरक्षित है।,शाहजहाँ का मकबरा,संरक्षित है,भोपाल
इंडिया गेट दिल्ली में निर्मित किया गया था।,इंडिया गेट,निर्मित किया गया था,दिल्ली
सिटी पैलेस जयपुर हैदराबाद में प्रसिद्ध है।,सिटी पैलेस जयपुर,प्रसिद्ध है,हैदराबाद
इंडिया गेट उज्जैन में स्थित है।,इंडिया गेट,स्थित है,उज्जैन
हुमायूँ का मकबरा सूरत में संरक्षित है।,हुमायूँ का मकबरा,संरक्षित है,सूरत
गोलकोंडा किला दिल्ली में स्थित है।,गोलकोंडा किला,स्थित है,दिल्ली
हुमायूँ का मकबरा जयपुर में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,जयपुर
चारमीनार जोधपुर में स्थित है।,चारमीनार,स्थित है,जोधपुर
हुमायूँ का मकबरा सूरत में स्थित है।,हुमायूँ का मकबरा,स्थित है,सूरत
शाहजहाँ का मकबरा कोलकाता में संरक्षित है।,शाहजहाँ का मकबरा,संरक्षित है,कोलकाता
सांची स्तूप दिल्ली में स्थित है।,सांची स्तूप,स्थित है,दिल्ली
सिटी पैलेस जयपुर आगरा में संरक्षित है।,सिटी पैलेस जयपुर,संरक्षित है,आगरा
हुमायूँ का मकबरा हैदराबाद में प्रसिद्ध है।,हुमायूँ का मकबरा,प्रसिद्ध है,हैदराबाद
सांची स्तूप उज्जैन में प्रसिद्ध है।,सांची स्तूप,प्रसिद्ध है,उज्जैन
लाल किला सूरत में संरक्षित है।,लाल किला,संरक्षित है,सूरत
लाल किला उज्जैन में स्थित है।,लाल किला,स्थित है,उज्जैन
लाल किला अहमदाबाद में प्रसिद्ध है।,लाल किला,प्रसिद्ध है,अहमदाबाद
गोलकोंडा किला जयपुर में स्थित है।,गोलकोंडा किला,स्थित है,जयपुर
हुमायूँ का मकबरा भोपाल में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,भोपाल
इंडिया गेट कोलकाता में स्थित है।,इंडिया गेट,स्थित है,कोलकाता
कुतुब मीनार दिल्ली में प्रसिद्ध है।,कुतुब मीनार,प्रसिद्ध है,दिल्ली
रानी की वाव हैदराबाद में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,हैदराबाद
रानी की वाव दिल्ली में स्थित है।,रानी की वाव,स्थित है,दिल्ली
इंडिया गेट अहमदाबाद में स्थित है।,इंडिया गेट,स्थित है,अहमदाबाद
सांची स्तूप दिल्ली में निर्मित किया गया था।,सांची स्तूप,निर्मित किया गया था,दिल्ली
रानी की वाव सूरत में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,सूरत
सिटी पैलेस जयपुर उज्जैन में संरक्षित है।,सिटी पैलेस जयपुर,संरक्षित है,उज्जैन
लाल किला कोलकाता में निर्मित किया गया था।,लाल किला,निर्मित किया गया था,कोलकाता
सांची स्तूप जयपुर में संरक्षित है।,सांची स्तूप,संरक्षित है,जयपुर
गोलकोंडा किला जयपुर में निर्मित किया गया था।,गोलकोंडा किला,निर्मित किया गया था,जयपुर
शाहजहाँ का मकबरा अहमदाबाद में निर्मित किया गया था।,शाहजहाँ का मकबरा,निर्मित किया गया था,अहमदाबाद
इंडिया गेट उज्जैन में निर्मित किया गया था।,इंडिया गेट,निर्मित किया गया था,उज्जैन
गोलमंदिर भोपाल में निर्मित किया गया था।,गोलमंदिर,निर्मित किया गया था,भोपाल
शाहजहाँ का मकबरा जयपुर में निर्मित किया गया था।,शाहजहाँ का मकबरा,निर्मित किया गया था,जयपुर
इंडिया गेट कोलकाता में संरक्षित है।,इंडिया गेट,संरक्षित है,कोलकाता
गोलकोंडा किला जोधपुर में निर्मित किया गया था।,गोलकोंडा किला,निर्मित किया गया था,जोधपुर
ताजमहल भोपाल में स्थित है।,ताजमहल,स्थित है,भोपाल
जल महल हैदराबाद में प्रसिद्ध है।,जल महल,प्रसिद्ध है,हैदराबाद
कुतुब मीनार अहमदाबाद में प्रसिद्ध है।,कुतुब मीनार,प्रसिद्ध है,अहमदाबाद
हुमायूँ का मकबरा जोधपुर में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,जोधपुर
हुमायूँ का मकबरा जोधपुर में स्थित है।,हुमायूँ का मकबरा,स्थित है,जोधपुर
रानी की वाव भोपाल में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,भोपाल
शाहजहाँ का मकबरा जोधपुर में संरक्षित है।,शाहजहाँ का मकबरा,संरक्षित है,जोधपुर
हुमायूँ का मकबरा जयपुर में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,जयपुर
हुमायूँ का मकबरा भोपाल में स्थित है।,हुमायूँ का मकबरा,स्थित है,भोपाल
हुमायूँ का मकबरा कोलकाता में प्रसिद्ध है।,हुमायूँ का मकबरा,प्रसिद्ध है,कोलकाता
रानी की वाव जयपुर में संरक्षित है।,रानी की वाव,संरक्षित है,जयपुर
कुतुब मीनार वाराणसी में स्थित है।,कुतुब मीनार,स्थित है,वाराणसी
कांच महल दिल्ली में स्थित है।,कांच महल,स्थित है,दिल्ली
रानी की वाव सूरत में स्थित है।,रानी की वाव,स्थित है,सूरत
लाल किला हैदराबाद में निर्मित किया गया था।,लाल किला,निर्मित किया गया था,हैदराबाद
गोलकोंडा किला आगरा में प्रसिद्ध है।,गोलकोंडा किला,प्रसिद्ध है,आगरा
चारमीनार हैदराबाद में प्रसिद्ध है।,चारमीनार,प्रसिद्ध है,हैदराबाद
लाल किला सूरत में स्थित है।,लाल किला,स्थित है,सूरत
गोलकोंडा किला उज्जैन में स्थित है।,गोलकोंडा किला,स्थित है,उज्जैन
इंडिया गेट कोलकाता में स्थित है।,इंडिया गेट,स्थित है,कोलकाता
लाल किला जयपुर में निर्मित किया गया था।,लाल किला,निर्मित किया गया था,जयपुर
जल महल आगरा में प्रसिद्ध है।,जल महल,प्रसिद्ध है,आगरा
हुमायूँ का मकबरा अहमदाबाद में संरक्षित है।,हुमायूँ का मकबरा,संरक्षित है,अहमदाबाद
गोलमंदिर हैदराबाद में स्थित है।,गोलमंदिर,स्थित है,हैदराबाद
चारमीनार जयपुर में संरक्षित है।,चारमीनार,संरक्षित है,जयपुर
इंडिया गेट जयपुर में स्थित है।,इंडिया गेट,स्थित है,जयपुर
कांच महल हैदराबाद में निर्मित किया गया था।,कांच महल,निर्मित किया गया था,हैदराबाद
कुतुब मीनार उज्जैन में निर्मित किया गया था।,कुतुब मीनार,निर्मित किया गया था,उज्जैन
रानी की वाव हैदराबाद में संरक्षित है।,रानी की वाव,संरक्षित है,हैदराबाद
कुतुब मीनार आगरा में संरक्षित है।,कुतुब मीनार,संरक्षित है,आगरा
चारमीनार कोलकाता में संरक्षित है।,चारमीनार,संरक्षित है,कोलकाता
ताजमहल वाराणसी में प्रसिद्ध है।,ताजमहल,प्रसिद्ध है,वाराणसी
चारमीनार जयपुर में निर्मित किया गया था।,चारमीनार,निर्मित किया गया था,जयपुर
जल महल आगरा में निर्मित किया गया था।,जल महल,निर्मित किया गया था,आगरा
ताजमहल वाराणसी में संरक्षित है।,ताजमहल,संरक्षित है,वाराणसी
गोलकोंडा किला भोपाल में संरक्षित है।,गोलकोंडा किला,संरक्षित है,भोपाल
सांची स्तूप जयपुर में निर्मित किया गया था।,सांची स्तूप,निर्मित किया गया था,जयपुर
ताजमहल अहमदाबाद में संरक्षित है।,ताजमहल,संरक्षित है,अहमदाबाद
हुमायूँ का मकबरा सूरत में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,सूरत
कुतुब मीनार उज्जैन में निर्मित किया गया था।,कुतुब मीनार,निर्मित किया गया था,उज्जैन
हुमायूँ का मकबरा जोधपुर में संरक्षित है।,हुमायूँ का मकबरा,संरक्षित है,जोधपुर
रानी की वाव हैदराबाद में संरक्षित है।,रानी की वाव,संरक्षित है,हैदराबाद
लाल किला आगरा में प्रसिद्ध है।,लाल किला,प्रसिद्ध है,आगरा
चारमीनार उज्जैन में स्थित है।,चारमीनार,स्थित है,उज्जैन
गोलमंदिर जयपुर में प्रसिद्ध है।,गोलमंदिर,प्रसिद्ध है,जयपुर
कुतुब मीनार उज्जैन में निर्मित किया गया था।,कुतुब मीनार,निर्मित किया गया था,उज्जैन
सिटी पैलेस जयपुर वाराणसी में प्रसिद्ध है।,सिटी पैलेस जयपुर,प्रसिद्ध है,वाराणसी
सांची स्तूप अहमदाबाद में संरक्षित है।,सांची स्तूप,संरक्षित है,अहमदाबाद
चारमीनार जयपुर में प्रसिद्ध है।,चारमीनार,प्रसिद्ध है,जयपुर
सांची स्तूप उज्जैन में स्थित है।,सांची स्तूप,स्थित है,उज्जैन
कांच महल भोपाल में निर्मित किया गया था।,कांच महल,निर्मित किया गया था,भोपाल
जल महल हैदराबाद में प्रसिद्ध है।,जल महल,प्रसिद्ध है,हैदराबाद
सिटी पैलेस जयपुर सूरत में स्थित है।,सिटी पैलेस जयपुर,स्थित है,सूरत
हुमायूँ का मकबरा उज्जैन में प्रसिद्ध है।,हुमायूँ का मकबरा,प्रसिद्ध है,उज्जैन
रानी की वाव जयपुर में स्थित है।,रानी की वाव,स्थित है,जयपुर
रानी की वाव अहमदाबाद में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,अहमदाबाद
कुतुब मीनार भोपाल में स्थित है।,कुतुब मीनार,स्थित है,भोपाल
हुमायूँ का मकबरा जयपुर में संरक्षित है।,हुमायूँ का मकबरा,संरक्षित है,जयपुर
रानी की वाव वाराणसी में प्रसिद्ध है।,रानी की वाव,प्रसिद्ध है,वाराणसी
गोलमंदिर वाराणसी में संरक्षित है।,गोलमंदिर,संरक्षित है,वाराणसी
ताजमहल कोलकाता में निर्मित किया गया था।,ताजमहल,निर्मित किया गया था,कोलकाता
कुतुब मीनार वाराणसी में संरक्षित है।,कुतुब मीनार,संरक्षित है,वाराणसी
सांची स्तूप जोधपुर में निर्मित किया गया था।,सांची स्तूप,निर्मित किया गया था,जोधपुर
कुतुब मीनार कोलकाता में निर्मित किया गया था।,कुतुब मीनार,निर्मित किया गया था,कोलकाता
शाहजहाँ का मकबरा भोपाल में प्रसिद्ध है।,शाहजहाँ का मकबरा,प्रसिद्ध है,भोपाल
लाल किला हैदराबाद में स्थित है।,लाल किला,स्थित है,हैदराबाद
चारमीनार अहमदाबाद में स्थित है।,चारमीनार,स्थित है,अहमदाबाद
चारमीनार अहमदाबाद में संरक्षित है।,चारमीनार,संरक्षित है,अहमदाबाद
गोलकोंडा किला कोलकाता में निर्मित किया गया था।,गोलकोंडा किला,निर्मित किया गया था,कोलकाता
इंडिया गेट जयपुर में प्रसिद्ध है।,इंडिया गेट,प्रसिद्ध है,जयपुर
गोलमंदिर जयपुर में स्थित है।,गोलमंदिर,स्थित है,जयपुर
ताजमहल हैदराबाद में निर्मित किया गया था।,ताजमहल,निर्मित किया गया था,हैदराबाद
चारमीनार अहमदाबाद में निर्मित किया गया था।,चारमीनार,निर्मित किया गया था,अहमदाबाद
रानी की वाव जयपुर में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,जयपुर
सिटी पैलेस जयपुर आगरा में प्रसिद्ध है।,सिटी पैलेस जयपुर,प्रसिद्ध है,आगरा
गोलकोंडा किला अहमदाबाद में निर्मित किया गया था।,गोलकोंडा किला,निर्मित किया गया था,अहमदाबाद
रानी की वाव अहमदाबाद में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,अहमदाबाद
रानी की वाव उज्जैन में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,उज्जैन
गोलमंदिर हैदराबाद में संरक्षित है।,गोलमंदिर,संरक्षित है,हैदराबाद
इंडिया गेट उज्जैन में प्रसिद्ध है।,इंडिया गेट,प्रसिद्ध है,उज्जैन
चारमीनार जयपुर में निर्मित किया गया था।,चारमीनार,निर्मित किया गया था,जयपुर
हुमायूँ का मकबरा हैदराबाद में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,हैदराबाद
ताजमहल जयपुर में स्थित है।,ताजमहल,स्थित है,जयपुर
सांची स्तूप भोपाल में संरक्षित है।,सांची स्तूप,संरक्षित है,भोपाल
